BAS_SCENARIO,BAS_GRP_CD,BAS_RSN_CD,BAS_CONTR_PYR,BAS_CHG_IND,BAS_NEW_GRP_CD,BAS_NEW_RSN_CD
0,OA,65,Y,MOD,PR,2
0,OA,66,Y,MOD,PR,2
0,OA,67,Y,MOD,PR,2
0,OA,68,Y,MOD,PR,2
0,OA,69,Y,MOD,PR,2
0,OA,7,Y,MOD,PR,2
0,OA,70,Y,MOD,PR,2
0,OA,71,Y,MOD,PR,2
0,OA,72,Y,MOD,PR,2
0,OA,73,Y,MOD,PR,2
0,OA,74,Y,MOD,PR,2
0,OA,75,Y,MOD,PR,2
0,OA,76,Y,MOD,PR,2
0,OA,77,Y,MOD,PR,2
0,OA,78,Y,MOD,PR,2
0,OA,79,Y,MOD,PR,2
0,OA,8,Y,MOD,PR,2
0,OA,80,Y,MOD,PR,2
0,OA,81,Y,MOD,PR,2
0,OA,82,Y,MOD,PR,2
0,OA,83,Y,MOD,PR,2
0,OA,84,Y,MOD,PR,2
0,OA,85,Y,MOD,PR,2
0,OA,86,Y,MOD,PR,2
0,OA,87,Y,MOD,PR,2
0,OA,88,Y,MOD,PR,2
0,OA,89,Y,MOD,PR,2
0,OA,9,Y,MOD,PR,2
0,OA,90,Y,MOD,PR,2
0,OA,91,Y,MOD,PR,2
0,OA,92,Y,MOD,PR,2
0,OA,93,Y,MOD,PR,2
0,OA,94,Y,MOD,PR,2
0,OA,95,Y,MOD,PR,2
0,OA,96,Y,MOD,PR,2
0,OA,97,Y,MOD,PR,2
0,OA,98,Y,MOD,PR,2
0,OA,99,Y,MOD,PR,2
0,PI,A1,Y,MOD,PR,2
1,CO,1,Y,MOD,CO,45
1,CO,10,Y,MOD,CO,45
1,CO,100,Y,MOD,CO,45
1,CO,101,Y,MOD,CO,45
1,CO,102,Y,MOD,CO,45
1,CO,103,Y,MOD,CO,45
1,CO,104,Y,MOD,CO,45
1,CO,105,Y,MOD,CO,45
1,CO,106,Y,MOD,CO,45
1,CO,107,Y,MOD,CO,45
1,CO,108,Y,MOD,CO,45
1,CO,109,Y,MOD,CO,45
1,CO,11,Y,MOD,CO,45
1,CO,110,Y,MOD,CO,45
1,CO,111,Y,MOD,CO,45
1,CO,112,Y,MOD,CO,45
1,CO,113,Y,MOD,CO,45
1,CO,114,Y,MOD,CO,45
1,CO,115,Y,MOD,CO,45
1,CO,116,Y,MOD,CO,45
1,CO,117,Y,MOD,CO,45
1,CO,118,Y,MOD,CO,45
1,CO,119,Y,MOD,CO,45
1,CO,12,Y,MOD,CO,45
1,CO,120,Y,MOD,CO,45
1,CO,121,Y,MOD,CO,45
1,CO,122,Y,MOD,CO,45
1,CO,123,Y,MOD,CO,45
1,CO,124,Y,MOD,CO,45
1,CO,125,Y,MOD,CO,45
1,CO,126,Y,MOD,CO,45
1,CO,127,Y,MOD,CO,45
1,CO,128,Y,MOD,CO,45
